Retailer,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,2020-03-05,Northeast,New York,New York,Men's Athletic Footwear,55.0,700,357500.0,114999.28,0.3,Outlet
Foot Locker,2020-03-06,Northeast,New York,New York,Women's Street Footwear,50.0,625,233750.0,80080.00000000004,0.35,Outlet
Foot Locker,2020-03-07,Northeast,New York,New York,Women's Athletic Footwear,50.0,500,200000.0,72000.0,0.35,Outlet
Foot Locker,2020-03-08,Northeast,New York,New York,Men's Apparel,60.0,425,227500.0,78750.0,0.3,Outlet
Foot Locker,2020-03-09,Northeast,New York,New York,Women's Apparel,65.0,675,399299.44000000006,140770.0,0.25,Outlet
Foot Locker,2020-03-10,Northeast,New York,New York,Men's Street Footwear,60.0,870,480687.49999999994,197999.0,0.5,Outlet
Foot Locker,2020-03-11,Northeast,New York,New York,Men's Athletic Footwear,55.0,700,357500.0,114999.28,0.3,Outlet
Foot Locker,2020-03-12,Northeast,New York,New York,Women's Street Footwear,50.0,625,233750.0,80080.00000000004,0.35,Outlet
Foot Locker,2020-03-13,Northeast,New York,New York,Women's Athletic Footwear,50.0,500,200000.0,72000.0,0.35,Outlet
Foot Locker,2020-03-14,Northeast,New York,New York,Men's Apparel,60.0,425,227500.0,78750.0,0.3,Outlet
Foot Locker,2020-03-15,Northeast,New York,New York,Women's Apparel,65.0,675,399299.44000000006,140770.0,0.25,Outlet
Foot Locker,2020-03-16,Northeast,New York,New York,Men's Street Footwear,60.0,870,480687.49999999994,197999.0,0.5,Outlet
Foot Locker,2020-03-17,Northeast,New York,New York,Men's Athletic Footwear,55.0,700,357500.0,114999.28,0.3,Outlet
Foot Locker,2020-03-18,Northeast,New York,New York,Women's Street Footwear,50.0,625,233750.0,80080.00000000004,0.35,Outlet
Foot Locker,2020-03-31,Northeast,New York,New York,Women's Athletic Footwear,50.0,500,200000.0,72000.0,0.35,Outlet
Walmart,2020-04-17,Northeast,New York,New York,Men's Apparel,60.0,425,227500.0,78750.0,0.3,Outlet
Walmart,2020-04-18,Northeast,New York,New York,Women's Apparel,65.0,675,399299.44000000006,140770.0,0.25,Outlet
Walmart,2020-04-19,Northeast,New York,New York,Men's Street Footwear,60.0,870,480687.49999999994,197999.0,0.5,Outlet
Walmart,2020-04-20,Northeast,New York,New York,Men's Athletic Footwear,55.0,700,357500.0,114999.28,0.3,Outlet
Walmart,2020-04-21,Northeast,New York,New York,Women's Street Footwear,50.0,625,233750.0,80080.00000000004,0.35,Outlet
Walmart,2020-04-22,Northeast,New York,New York,Women's Athletic Footwear,50.0,500,200000.0,72000.0,0.35,Outlet
Walmart,2020-04-23,Northeast,New York,New York,Men's Apparel,60.0,425,227500.0,78750.0,0.3,Outlet
Walmart,2020-04-24,Northeast,New York,New York,Women's Apparel,65.0,675,399299.44000000006,140770.0,0.25,Outlet
Walmart,2020-04-25,Northeast,New York,New York,Men's Apparel,65.0,425,227500.0,78750.0,0.3,Outlet
Walmart,2020-04-26,Northeast,New York,New York,Women's Apparel,70.0,675,399299.44000000006,140770.0,0.25,Outlet
Walmart,2020-04-27,Northeast,New York,New York,Men's Street Footwear,65.0,870,480687.49999999994,197999.0,0.5,Outlet
Walmart,2020-04-28,Northeast,New York,New York,Men's Athletic Footwear,55.0,700,357500.0,114999.28,0.3,Outlet
Walmart,2020-04-29,Northeast,New York,New York,Women's Street Footwear,55.0,625,233750.0,80080.00000000004,0.35,Outlet
Walmart,2020-04-30,Northeast,New York,New York,Women's Athletic Footwear,55.0,500,200000.0,72000.0,0.35,Outlet
Walmart,2020-05-01,Northeast,New York,New York,Men's Apparel,65.0,425,227500.0,78750.0,0.3,Outlet
Walmart,2020-05-02,Northeast,New York,New York,Women's Apparel,70.0,675,399299.44000000006,140770.0,0.25,Outlet
Walmart,2020-05-03,Northeast,New York,New York,Men's Street Footwear,65.0,870,480687.49999999994,197999.0,0.5,Outlet
Walmart,2020-05-04,Northeast,New York,New York,Men's Athletic Footwear,55.0,700,357500.0,114999.28,0.3,Outlet
Walmart,2020-05-05,Northeast,New York,New York,Women's Street Footwear,55.0,625,233750.0,80080.00000000004,0.35,Outlet
Walmart,2020-05-06,Northeast,New York,New York,Women's Athletic Footwear,55.0,500,200000.0,72000.0,0.35,Outlet
Walmart,2020-05-07,Northeast,New York,New York,Men's Apparel,65.0,425,227500.0,78750.0,0.3,Outlet
Walmart,2020-07-18,Northeast,New York,New York,Women's Apparel,70.0,675,399299.44000000006,140770.0,0.25,Outlet
Sports Direct,2020-07-19,Northeast,New York,New York,Men's Street Footwear,25.0,870,225000.0,78750.0,0.35,Outlet
Sports Direct,2020-07-20,Northeast,New York,New York,Men's Athletic Footwear,35.0,700,315000.0,110250.0,0.35,Outlet
Sports Direct,2020-07-21,Northeast,New York,New York,Women's Street Footwear,35.0,625,233750.0,80080.00000000004,0.35,Outlet
Sports Direct,2020-07-22,Northeast,New York,New York,Women's Athletic Footwear,35.0,500,200000.0,72000.0,0.45,Outlet
Sports Direct,2020-07-23,South,Texas,Houston,Men's Apparel,40.0,425,220000.0,66000.0,0.3,Outlet
Sports Direct,2020-07-24,South,Texas,Houston,Women's Apparel,35.0,675,245000.0,122500.0,0.5,Outlet
Sports Direct,2020-07-25,South,Texas,Houston,Men's Street Footwear,25.0,850,212500.0,74375.0,0.35,Outlet
Sports Direct,2020-07-26,South,Texas,Houston,Men's Athletic Footwear,35.0,700,297500.0,104125.0,0.35,Outlet
Sports Direct,2020-07-27,South,Texas,Houston,Women's Street Footwear,35.0,625,233750.0,80080.00000000004,0.35,Outlet
Sports Direct,2020-07-28,South,Texas,Houston,Women's Athletic Footwear,35.0,500,200000.0,72000.0,0.45,Outlet
Sports Direct,2020-07-29,South,Texas,Houston,Men's Apparel,40.0,425,200000.0,60000.0,0.3,Outlet
Sports Direct,2020-07-30,South,Texas,Houston,Women's Apparel,35.0,675,245000.0,122500.0,0.5,Outlet
Sports Direct,2020-07-31,South,Texas,Houston,Men's Street Footwear,30.0,870,262500.0,91875.0,0.35,Outlet
Sports Direct,2020-08-01,South,Texas,Houston,Men's Athletic Footwear,40.0,700,350000.0,114999.28,0.35,Outlet
Sports Direct,2020-08-02,South,Texas,Houston,Women's Street Footwear,35.0,625,233750.0,80080.00000000004,0.35,Outlet
Sports Direct,2020-08-03,South,Texas,Houston,Women's Athletic Footwear,40.0,500,200000.0,72000.0,0.45,Outlet
Sports Direct,2020-08-04,South,Texas,Houston,Men's Apparel,45.0,425,225000.0,67500.0,0.3,Outlet
Sports Direct,2020-08-05,South,Texas,Houston,Women's Apparel,40.0,650,260000.0,130000.0,0.5,Outlet
Sports Direct,2020-08-06,South,Texas,Houston,Men's Street Footwear,30.0,870,270000.0,94500.0,0.35,Outlet
Sports Direct,2020-08-07,South,Texas,Houston,Men's Athletic Footwear,40.0,700,357500.0,114999.28,0.35,Outlet
Sports Direct,2020-08-08,South,Texas,Houston,Women's Street Footwear,35.0,625,233750.0,80080.00000000004,0.35,Outlet
Sports Direct,2020-08-09,South,Texas,Houston,Women's Athletic Footwear,40.0,500,200000.0,72000.0,0.45,Outlet
Walmart,2020-08-10,South,Texas,Houston,Men's Apparel,45.0,425,227500.0,70875.0,0.3,Outlet
Walmart,2020-08-11,South,Texas,Houston,Women's Apparel,40.0,675,320000.0,140770.0,0.5,Outlet
Walmart,2020-08-12,South,Texas,Houston,Men's Street Footwear,30.0,870,277500.0,97125.0,0.35,Outlet
Walmart,2020-08-13,South,Texas,Houston,Men's Athletic Footwear,40.0,700,357500.0,114999.28,0.35,Outlet
Walmart,2020-08-14,South,Texas,Houston,Women's Street Footwear,35.0,625,233750.0,80080.00000000004,0.35,Outlet
Walmart,2020-08-15,South,Texas,Houston,Women's Athletic Footwear,40.0,500,200000.0,72000.0,0.45,Outlet
Walmart,2020-08-16,South,Texas,Houston,Men's Apparel,45.0,425,227500.0,78750.0,0.3,Outlet
Walmart,2020-08-17,South,Texas,Houston,Women's Apparel,40.0,675,380000.0,140770.0,0.5,Outlet
Walmart,2020-08-18,South,Texas,Houston,Men's Street Footwear,40.0,870,380000.0,133000.0,0.35,Outlet
Walmart,2020-08-19,South,Texas,Houston,Men's Athletic Footwear,45.0,700,357500.0,114999.28,0.35,Outlet
Walmart,2020-08-20,South,Texas,Houston,Women's Street Footwear,40.0,625,233750.0,80080.00000000004,0.35,Outlet
Walmart,2020-08-21,South,Texas,Houston,Women's Athletic Footwear,40.0,500,200000.0,72000.0,0.45,Outlet
Walmart,2020-08-22,South,Texas,Houston,Men's Apparel,45.0,425,227500.0,78750.0,0.3,Outlet
Walmart,2020-08-23,South,Texas,Houston,Women's Apparel,50.0,675,399299.44000000006,140770.0,0.5,Outlet
Walmart,2020-08-24,South,Texas,Houston,Men's Street Footwear,40.0,870,380000.0,133000.0,0.35,Outlet
Walmart,2020-08-25,South,Texas,Houston,Men's Athletic Footwear,45.0,700,357500.0,114999.28,0.35,Outlet
Walmart,2020-08-26,South,Texas,Houston,Women's Street Footwear,40.0,625,233750.0,80080.00000000004,0.35,Outlet
Walmart,2020-08-27,South,Texas,Houston,Women's Athletic Footwear,40.0,500,200000.0,72000.0,0.45,Outlet
Walmart,2020-08-28,South,Texas,Houston,Men's Apparel,45.0,425,227500.0,78750.0,0.3,Outlet
Walmart,2020-08-29,South,Texas,Houston,Women's Apparel,50.0,675,399299.44000000006,140770.0,0.5,Outlet
Walmart,2020-08-30,South,Texas,Houston,Men's Street Footwear,40.0,870,370000.0,129499.0,0.35,Outlet
Walmart,2020-08-31,South,Texas,Houston,Men's Athletic Footwear,45.0,700,357500.0,114999.28,0.35,Outlet
Walmart,2020-09-01,South,Texas,Houston,Women's Street Footwear,40.0,625,233750.0,80080.00000000004,0.35,Outlet
Walmart,2020-09-02,South,Texas,Houston,Women's Athletic Footwear,40.0,500,200000.0,72000.0,0.45,Outlet
Walmart,2020-09-03,South,Texas,Houston,Men's Apparel,45.0,425,227500.0,78750.0,0.3,Outlet
Walmart,2020-09-04,South,Texas,Houston,Women's Apparel,50.0,675,399299.44000000006,140770.0,0.5,Outlet
Walmart,2020-09-05,South,Texas,Houston,Men's Street Footwear,45.0,850,382500.0,133875.0,0.35,Outlet
Walmart,2020-09-06,South,Texas,Houston,Men's Athletic Footwear,45.0,700,357500.0,114999.28,0.35,Outlet
Walmart,2020-09-07,South,Texas,Houston,Women's Street Footwear,50.0,625,233750.0,80080.00000000004,0.35,Outlet
Walmart,2020-09-08,South,Texas,Houston,Women's Athletic Footwear,50.0,500,200000.0,72000.0,0.45,Outlet
Walmart,2020-09-09,South,Texas,Houston,Men's Apparel,45.0,425,227500.0,78750.0,0.3,Outlet
Walmart,2020-09-10,South,Texas,Houston,Women's Apparel,55.0,675,399299.44000000006,140770.0,0.5,Outlet
Walmart,2020-09-11,South,Texas,Houston,Men's Street Footwear,45.0,800,360000.0,125999.0,0.35,Outlet
Walmart,2020-09-12,South,Texas,Houston,Men's Athletic Footwear,45.0,700,357500.0,114999.28,0.35,Outlet
Walmart,2020-09-13,South,Texas,Houston,Women's Street Footwear,50.0,625,233750.0,80080.00000000004,0.35,Outlet
Walmart,2020-09-14,South,Texas,Houston,Women's Athletic Footwear,50.0,500,200000.0,72000.0,0.45,Outlet
Walmart,2020-09-15,South,Texas,Houston,Men's Apparel,45.0,425,227500.0,77625.0,0.3,Outlet
Walmart,2020-09-16,South,Texas,Houston,Women's Apparel,55.0,675,399299.44000000006,140770.0,0.5,Outlet
Walmart,2020-10-20,South,Texas,Houston,Men's Street Footwear,45.0,870,405000.0,141750.0,0.35,Outlet
Walmart,2020-10-21,South,Texas,Houston,Men's Athletic Footwear,45.0,700,357500.0,114999.28,0.35,Outlet
Walmart,2020-10-22,South,Texas,Houston,Women's Street Footwear,50.0,625,233750.0,80080.00000000004,0.35,Outlet
Walmart,2020-10-23,South,Texas,Houston,Women's Athletic Footwear,50.0,500,200000.0,72000.0,0.45,Outlet
Walmart,2020-10-24,South,Texas,Houston,Men's Apparel,45.0,425,227500.0,78750.0,0.3,Outlet
Walmart,2020-10-25,South,Texas,Houston,Women's Apparel,55.0,675,399299.44000000006,140770.0,0.5,Outlet
Walmart,2020-10-26,South,Texas,Houston,Men's Street Footwear,45.0,870,427500.0,149625.0,0.35,Outlet
Walmart,2020-10-27,South,Texas,Houston,Men's Athletic Footwear,45.0,700,357500.0,114999.28,0.35,Outlet
Walmart,2020-10-28,South,Texas,Houston,Women's Street Footwear,50.0,625,233750.0,80080.00000000004,0.35,Outlet
Walmart,2020-10-29,South,Texas,Houston,Women's Athletic Footwear,50.0,500,200000.0,72000.0,0.45,Outlet
Walmart,2020-10-30,South,Texas,Houston,Men's Apparel,45.0,425,227500.0,78750.0,0.3,Outlet
Walmart,2020-10-31,South,Texas,Houston,Women's Apparel,55.0,675,399299.44000000006,140770.0,0.5,Outlet
West Gear,2020-11-01,South,Texas,Houston,Men's Street Footwear,40.0,775,310000.0,108500.0,0.35000000000000003,Outlet
West Gear,2020-11-02,South,Texas,Houston,Men's Athletic Footwear,50.0,700,357500.0,77500.0,0.2,Outlet
West Gear,2020-11-03,South,Texas,Houston,Women's Street Footwear,50.0,625,233750.0,80080.00000000004,0.35000000000000003,Outlet
West Gear,2020-11-04,South,Texas,Houston,Women's Athletic Footwear,50.0,500,200000.0,72000.0,0.3,Outlet
West Gear,2020-11-05,West,California,San Francisco,Men's Apparel,55.0,425,227500.0,78750.0,0.5,Outlet
West Gear,2020-11-06,West,California,San Francisco,Women's Apparel,50.0,675,387500.0,58125.0,0.2,Outlet
West Gear,2020-11-07,West,California,San Francisco,Men's Street Footwear,40.0,825,330000.0,115500.0,0.35000000000000003,Outlet
West Gear,2020-11-08,West,California,San Francisco,Men's Athletic Footwear,50.0,700,357500.0,72500.0,0.2,Outlet
West Gear,2020-11-09,West,California,San Francisco,Women's Street Footwear,50.0,625,233750.0,80080.00000000004,0.35000000000000003,Outlet
West Gear,2020-11-10,West,California,San Francisco,Women's Athletic Footwear,50.0,500,200000.0,72000.0,0.3,Outlet
West Gear,2020-11-11,West,California,San Francisco,Men's Apparel,55.0,425,227500.0,78750.0,0.5,Outlet
West Gear,2020-11-12,West,California,San Francisco,Women's Apparel,50.0,675,350000.0,52500.0,0.2,Outlet
West Gear,2020-11-13,West,California,San Francisco,Men's Street Footwear,50.0,850,425000.0,148750.0,0.35000000000000003,Outlet
West Gear,2020-11-14,West,California,San Francisco,Men's Athletic Footwear,60.0,700,357500.0,84000.0,0.2,Outlet
West Gear,2020-11-15,West,California,San Francisco,Women's Street Footwear,60.0,625,233750.0,80080.00000000004,0.35000000000000003,Outlet
West Gear,2020-12-22,West,California,San Francisco,Women's Athletic Footwear,60.0,500,200000.0,72000.0,0.3,Outlet
West Gear,2020-12-23,West,California,San Francisco,Men's Apparel,65.0,425,227500.0,78750.0,0.5,Outlet
West Gear,2020-12-24,West,California,San Francisco,Women's Apparel,60.0,675,399299.44000000006,63000.0,0.2,Outlet
West Gear,2020-12-25,West,California,San Francisco,Men's Street Footwear,60.0,870,480687.49999999994,183750.0,0.35000000000000003,Outlet
West Gear,2020-12-26,West,California,San Francisco,Men's Athletic Footwear,65.0,675,357500.0,87750.0,0.2,Outlet
West Gear,2020-12-27,West,California,San Francisco,Women's Street Footwear,65.0,625,233750.0,80080.00000000004,0.35000000000000003,Outlet
West Gear,2020-12-28,West,California,San Francisco,Women's Athletic Footwear,60.0,500,200000.0,72000.0,0.3,Outlet
West Gear,2020-12-29,West,California,San Francisco,Men's Apparel,65.0,425,227500.0,78750.0,0.5,Outlet
West Gear,2020-12-30,West,California,San Francisco,Women's Apparel,80.0,675,399299.44000000006,84000.0,0.2,Outlet
West Gear,2020-12-31,West,California,San Francisco,Men's Street Footwear,60.0,870,480687.49999999994,197999.0,0.4,Outlet
West Gear,2021-01-01,West,California,San Francisco,Men's Athletic Footwear,65.0,700,357500.0,114999.28,0.25,Outlet
West Gear,2021-01-02,West,California,San Francisco,Women's Street Footwear,65.0,625,233750.0,80080.00000000004,0.4,Outlet
West Gear,2021-01-03,West,California,San Francisco,Women's Athletic Footwear,60.0,500,200000.0,72000.0,0.35,Outlet
West Gear,2021-01-04,West,California,San Francisco,Men's Apparel,65.0,425,227500.0,78750.0,0.55,Outlet
West Gear,2021-01-05,West,California,San Francisco,Women's Apparel,80.0,675,399299.44000000006,116000.0,0.2,Outlet
West Gear,2021-01-06,West,California,San Francisco,Men's Street Footwear,60.0,870,480687.49999999994,197999.0,0.4,Outlet
West Gear,2021-01-07,West,California,San Francisco,Men's Athletic Footwear,65.0,700,357500.0,114999.28,0.25,Outlet
West Gear,2021-01-08,West,California,San Francisco,Women's Street Footwear,65.0,625,233750.0,80080.00000000004,0.4,Outlet
West Gear,2021-01-09,West,California,San Francisco,Women's Athletic Footwear,60.0,500,200000.0,72000.0,0.35,Outlet
West Gear,2021-01-10,West,California,San Francisco,Men's Apparel,65.0,425,227500.0,78750.0,0.55,Outlet
West Gear,2021-01-11,West,California,San Francisco,Women's Apparel,80.0,675,399299.44000000006,140000.0,0.2,Outlet
West Gear,2021-01-12,West,California,San Francisco,Men's Street Footwear,60.0,870,480687.49999999994,197999.0,0.35000000000000003,Outlet
West Gear,2021-01-13,West,California,San Francisco,Men's Athletic Footwear,65.0,700,357500.0,113750.0,0.2,Outlet
West Gear,2021-01-14,West,California,San Francisco,Women's Street Footwear,65.0,625,233750.0,80080.00000000004,0.35000000000000003,Outlet
West Gear,2021-01-15,West,California,San Francisco,Women's Athletic Footwear,60.0,500,200000.0,72000.0,0.3,Outlet
West Gear,2021-01-16,West,California,San Francisco,Men's Apparel,65.0,425,227500.0,78750.0,0.5,Outlet
West Gear,2021-01-17,West,California,San Francisco,Women's Apparel,80.0,675,399299.44000000006,93000.0,0.2,Outlet
West Gear,2021-01-18,West,California,San Francisco,Men's Street Footwear,65.0,870,480687.49999999994,197999.0,0.35000000000000003,Outlet
West Gear,2021-01-19,West,California,San Francisco,Men's Athletic Footwear,70.0,700,357500.0,114999.28,0.2,Outlet
West Gear,2021-01-20,West,California,San Francisco,Women's Street Footwear,65.0,625,233750.0,80080.00000000004,0.35000000000000003,Outlet
West Gear,2021-01-21,West,California,San Francisco,Women's Athletic Footwear,65.0,500,200000.0,72000.0,0.3,Outlet
West Gear,2021-01-22,West,California,San Francisco,Men's Apparel,75.0,425,227500.0,78750.0,0.5,Outlet
West Gear,2021-01-23,West,California,San Francisco,Women's Apparel,80.0,675,399299.44000000006,87000.0,0.2,Outlet
West Gear,2021-01-24,West,California,San Francisco,Men's Street Footwear,55.0,870,480687.49999999994,152625.0,0.30000000000000004,Outlet
West Gear,2021-01-25,West,California,San Francisco,Men's Athletic Footwear,60.0,700,357500.0,83250.0,0.2,Outlet
West Gear,2021-01-26,West,California,San Francisco,Women's Street Footwear,55.0,625,233750.0,80080.00000000004,0.30000000000000004,Outlet
West Gear,2021-01-27,West,California,San Francisco,Women's Athletic Footwear,55.0,500,200000.0,72000.0,0.25,Outlet
West Gear,2021-01-28,West,California,San Francisco,Men's Apparel,65.0,425,227500.0,78750.0,0.45000000000000007,Outlet
West Gear,2021-01-29,West,California,San Francisco,Women's Apparel,70.0,675,399299.44000000006,54250.0,0.2,Outlet
West Gear,2021-01-30,West,California,San Francisco,Men's Street Footwear,55.0,870,480687.49999999994,144375.0,0.30000000000000004,Outlet
West Gear,2021-01-31,West,California,San Francisco,Men's Athletic Footwear,60.0,700,357500.0,78750.0,0.2,Outlet
West Gear,2021-02-01,West,California,San Francisco,Women's Street Footwear,55.0,625,233750.0,80080.00000000004,0.30000000000000004,Outlet
West Gear,2021-02-02,West,California,San Francisco,Women's Athletic Footwear,55.0,500,200000.0,72000.0,0.25,Outlet
West Gear,2021-02-03,West,California,San Francisco,Men's Apparel,65.0,425,227500.0,78750.0,0.45000000000000007,Outlet
West Gear,2021-02-04,West,California,San Francisco,Women's Apparel,70.0,675,399299.44000000006,49000.0,0.2,Outlet
West Gear,2021-02-05,West,California,San Francisco,Men's Street Footwear,55.0,870,480687.49999999994,144375.0,0.30000000000000004,Outlet
West Gear,2021-02-06,West,California,San Francisco,Men's Athletic Footwear,60.0,700,357500.0,78750.0,0.2,Outlet
West Gear,2021-02-07,West,California,San Francisco,Women's Street Footwear,55.0,625,233750.0,80080.00000000004,0.30000000000000004,Outlet
West Gear,2021-02-08,West,California,San Francisco,Women's Athletic Footwear,55.0,500,200000.0,72000.0,0.25,Outlet
West Gear,2021-02-09,West,California,San Francisco,Men's Apparel,65.0,425,227500.0,78750.0,0.45000000000000007,Outlet
West Gear,2021-02-10,West,California,San Francisco,Women's Apparel,70.0,675,399299.44000000006,54250.0,0.2,Outlet
West Gear,2021-02-11,West,California,San Francisco,Men's Street Footwear,55.0,870,480687.49999999994,160875.0,0.30000000000000004,Outlet
West Gear,2021-02-12,West,California,San Francisco,Men's Athletic Footwear,60.0,700,357500.0,87750.0,0.2,Outlet
West Gear,2021-02-13,West,California,San Francisco,Women's Street Footwear,55.0,625,233750.0,80080.00000000004,0.30000000000000004,Outlet
West Gear,2021-02-14,West,California,San Francisco,Women's Athletic Footwear,55.0,500,200000.0,72000.0,0.25,Outlet
West Gear,2021-02-15,West,California,San Francisco,Men's Apparel,65.0,425,227500.0,78750.0,0.45000000000000007,Outlet
West Gear,2021-02-16,West,California,San Francisco,Women's Apparel,70.0,675,399299.44000000006,56000.0,0.2,Outlet
Kohl's,2021-02-17,West,California,San Francisco,Men's Street Footwear,35.0,700,245000.0,98000.0,0.4,Outlet
Kohl's,2021-02-18,West,California,San Francisco,Men's Athletic Footwear,45.0,700,315000.0,78750.0,0.25,Outlet
Kohl's,2021-03-09,West,California,San Francisco,Women's Street Footwear,45.0,625,233750.0,80080.00000000004,0.4,Outlet
Kohl's,2021-03-10,West,California,San Francisco,Women's Athletic Footwear,45.0,500,200000.0,72000.0,0.35,Outlet
Kohl's,2021-03-11,West,California,Los Angeles,Men's Apparel,50.0,425,227500.0,78750.0,0.55,Outlet
Kohl's,2021-03-12,West,California,Los Angeles,Women's Apparel,45.0,675,315000.0,63000.0,0.2,Outlet
Kohl's,2021-03-13,West,California,Los Angeles,Men's Street Footwear,35.0,750,262500.0,105000.0,0.4,Outlet
Kohl's,2021-03-14,West,California,Los Angeles,Men's Athletic Footwear,45.0,650,292500.0,73125.0,0.25,Outlet
Kohl's,2021-03-15,West,California,Los Angeles,Women's Street Footwear,45.0,625,233750.0,80080.00000000004,0.4,Outlet
Kohl's,2021-03-16,West,California,Los Angeles,Women's Athletic Footwear,45.0,500,200000.0,72000.0,0.35,Outlet
Kohl's,2021-03-17,West,California,Los Angeles,Men's Apparel,50.0,425,225000.0,78750.0,0.55,Outlet
Kohl's,2021-03-18,West,California,Los Angeles,Women's Apparel,45.0,650,292500.0,58500.0,0.2,Outlet
Kohl's,2021-03-19,West,California,Los Angeles,Men's Street Footwear,35.0,800,280000.0,112000.0,0.4,Outlet
Kohl's,2021-03-20,West,California,Los Angeles,Men's Athletic Footwear,45.0,650,292500.0,73125.0,0.25,Outlet
Kohl's,2021-03-21,West,California,Los Angeles,Women's Street Footwear,45.0,625,233750.0,80080.00000000004,0.4,Outlet
Kohl's,2021-03-22,West,California,Los Angeles,Women's Athletic Footwear,45.0,500,200000.0,72000.0,0.35,Outlet
Kohl's,2021-03-23,West,California,Los Angeles,Men's Apparel,50.0,425,212500.0,78750.0,0.55,Outlet
Kohl's,2021-04-06,West,California,Los Angeles,Women's Apparel,45.0,625,281250.0,56250.0,0.2,Outlet
Kohl's,2021-04-07,West,California,Los Angeles,Men's Street Footwear,45.0,800,360000.0,144000.0,0.4,Outlet
Kohl's,2021-04-08,West,California,Los Angeles,Men's Athletic Footwear,50.0,600,300000.0,75000.0,0.25,Outlet
