Retailer,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method,Log_Total_Sales,Log_Units_Sold,Log_Operating_Profit,Log_Operating_Margin,Log_Price_per_Unit
Foot Locker,2020-01-28,Northeast,New York,New York,Women's Athletic Footwear,45,687.5,342687.5,114075.875,0.35,Outlet,1.5353039474937757,1.7434526876163379,1.5394280803104943,-0.7837209371518269,0.14683112786611158
Foot Locker,2020-01-29,Northeast,New York,New York,Men's Apparel,60,618.25,383759.875,122565.625,0.3,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-1.3768551998063734,1.070915561936916
Foot Locker,2020-01-30,Northeast,New York,New York,Women's Apparel,50,838.0,441491.0,118750.0,0.25,Outlet,1.5997056498846485,1.7434526876163379,1.5059245497347815,-1.9932554808937553,0.48467654773873725
Foot Locker,2020-01-31,Northeast,New York,New York,Men's Street Footwear,50,838.0,441491.0,152344.0,0.5,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,0.8721452173768379,0.48467654773873725
Foot Locker,2020-02-01,Northeast,New York,New York,Men's Athletic Footwear,50,838.0,441491.0,135000.0,0.3,Outlet,1.5997056498846485,1.7434526876163379,1.5784430040164001,-1.3768551998063734,0.48467654773873725
Foot Locker,2020-02-02,Northeast,New York,New York,Women's Street Footwear,40,838.0,360000.0,125999.0,0.35,Outlet,1.5353039474937757,1.7434526876163379,1.5394280803104943,-0.7837209371518269,-0.2299284184949977
Foot Locker,2020-02-03,Northeast,New York,New York,Women's Athletic Footwear,45,687.5,342687.5,114075.875,0.35,Outlet,1.551700355475021,1.7434526876163379,1.5568295178726663,-0.7837209371518269,0.14683112786611158
Foot Locker,2020-02-04,Northeast,New York,New York,Men's Apparel,60,618.25,383759.875,122565.625,0.3,Outlet,1.5997056498846485,1.7434526876163379,1.6323339908650678,-1.3768551998063734,1.070915561936916
Foot Locker,2020-02-05,Northeast,New York,New York,Women's Apparel,50,838.0,441491.0,118750.0,0.25,Outlet,1.5997056498846485,1.7434526876163379,1.5059245497347815,-1.9932554808937553,0.48467654773873725
Foot Locker,2020-02-06,Northeast,New York,New York,Men's Street Footwear,60,838.0,441491.0,152344.0,0.5,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,0.8721452173768379,1.070915561936916
Foot Locker,2020-02-07,Northeast,New York,New York,Men's Athletic Footwear,55,838.0,441491.0,152344.0,0.3,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-1.3768551998063734,0.7908991985093976
Foot Locker,2020-02-08,Northeast,New York,New York,Women's Street Footwear,50,838.0,406831.25,137865.625,0.35,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-0.7837209371518269,0.48467654773873725
Foot Locker,2020-02-09,Northeast,New York,New York,Women's Athletic Footwear,50,687.5,342687.5,114075.875,0.35,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-0.7837209371518269,0.48467654773873725
Foot Locker,2020-02-10,Northeast,New York,New York,Men's Apparel,60,618.25,383759.875,122565.625,0.3,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-1.3768551998063734,1.070915561936916
Foot Locker,2020-03-03,Northeast,New York,New York,Women's Apparel,65,838.0,441491.0,152344.0,0.25,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-1.9932554808937553,1.3288596019116166
Foot Locker,2020-03-04,Northeast,New York,New York,Men's Street Footwear,60,838.0,441491.0,152344.0,0.5,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,0.8721452173768379,1.070915561936916
Foot Locker,2020-03-05,Northeast,New York,New York,Men's Athletic Footwear,55,838.0,441491.0,152344.0,0.3,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-1.3768551998063734,0.7908991985093976
Foot Locker,2020-03-06,Northeast,New York,New York,Women's Street Footwear,50,838.0,406831.25,137865.625,0.35,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-0.7837209371518269,0.48467654773873725
Foot Locker,2020-03-07,Northeast,New York,New York,Women's Athletic Footwear,50,687.5,342687.5,114075.875,0.35,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-0.7837209371518269,0.48467654773873725
Foot Locker,2020-03-08,Northeast,New York,New York,Men's Apparel,60,618.25,383759.875,122565.625,0.3,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-1.3768551998063734,1.070915561936916
Foot Locker,2020-03-09,Northeast,New York,New York,Women's Apparel,65,838.0,441491.0,152344.0,0.25,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-1.9932554808937553,1.3288596019116166
Foot Locker,2020-03-10,Northeast,New York,New York,Men's Street Footwear,60,838.0,441491.0,152344.0,0.5,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,0.8721452173768379,1.070915561936916
Foot Locker,2020-03-11,Northeast,New York,New York,Men's Athletic Footwear,55,838.0,441491.0,152344.0,0.3,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-1.3768551998063734,0.7908991985093976
Foot Locker,2020-03-12,Northeast,New York,New York,Women's Street Footwear,50,838.0,406831.25,137865.625,0.35,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-0.7837209371518269,0.48467654773873725
Foot Locker,2020-03-13,Northeast,New York,New York,Women's Athletic Footwear,50,687.5,342687.5,114075.875,0.35,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-0.7837209371518269,0.48467654773873725
Foot Locker,2020-03-14,Northeast,New York,New York,Men's Apparel,60,618.25,383759.875,122565.625,0.3,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-1.3768551998063734,1.070915561936916
Foot Locker,2020-03-15,Northeast,New York,New York,Women's Apparel,65,838.0,441491.0,152344.0,0.25,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-1.9932554808937553,1.3288596019116166
Foot Locker,2020-03-16,Northeast,New York,New York,Men's Street Footwear,60,838.0,441491.0,152344.0,0.5,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,0.8721452173768379,1.070915561936916
Foot Locker,2020-03-17,Northeast,New York,New York,Men's Athletic Footwear,55,838.0,441491.0,152344.0,0.3,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-1.3768551998063734,0.7908991985093976
Foot Locker,2020-03-18,Northeast,New York,New York,Women's Street Footwear,50,838.0,406831.25,137865.625,0.35,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-0.7837209371518269,0.48467654773873725
Foot Locker,2020-03-31,Northeast,New York,New York,Women's Athletic Footwear,50,687.5,342687.5,114075.875,0.35,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-0.7837209371518269,0.48467654773873725
Walmart,2020-04-17,Northeast,New York,New York,Men's Apparel,60,618.25,383759.875,122565.625,0.3,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-1.3768551998063734,1.070915561936916
Walmart,2020-04-18,Northeast,New York,New York,Women's Apparel,65,838.0,441491.0,152344.0,0.25,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-1.9932554808937553,1.3288596019116166
Walmart,2020-04-19,Northeast,New York,New York,Men's Street Footwear,60,838.0,441491.0,152344.0,0.5,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,0.8721452173768379,1.070915561936916
Walmart,2020-04-20,Northeast,New York,New York,Men's Athletic Footwear,55,838.0,441491.0,152344.0,0.3,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-1.3768551998063734,0.7908991985093976
Walmart,2020-04-21,Northeast,New York,New York,Women's Street Footwear,50,838.0,406831.25,137865.625,0.35,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-0.7837209371518269,0.48467654773873725
Walmart,2020-04-22,Northeast,New York,New York,Women's Athletic Footwear,50,687.5,342687.5,114075.875,0.35,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-0.7837209371518269,0.48467654773873725
Walmart,2020-04-23,Northeast,New York,New York,Men's Apparel,60,618.25,383759.875,122565.625,0.3,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-1.3768551998063734,1.070915561936916
Walmart,2020-04-24,Northeast,New York,New York,Women's Apparel,65,838.0,441491.0,152344.0,0.25,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-1.9932554808937553,1.3288596019116166
Walmart,2020-04-25,Northeast,New York,New York,Men's Apparel,65,618.25,383759.875,122565.625,0.3,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-1.3768551998063734,1.3288596019116166
Walmart,2020-04-26,Northeast,New York,New York,Women's Apparel,70,838.0,441491.0,152344.0,0.25,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-1.9932554808937553,1.5679582113553834
Walmart,2020-04-27,Northeast,New York,New York,Men's Street Footwear,65,838.0,441491.0,152344.0,0.5,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,0.8721452173768379,1.3288596019116166
Walmart,2020-04-28,Northeast,New York,New York,Men's Athletic Footwear,55,838.0,441491.0,152344.0,0.3,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-1.3768551998063734,0.7908991985093976
Walmart,2020-04-29,Northeast,New York,New York,Women's Street Footwear,55,838.0,406831.25,137865.625,0.35,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-0.7837209371518269,0.7908991985093976
Walmart,2020-04-30,Northeast,New York,New York,Women's Athletic Footwear,55,687.5,342687.5,114075.875,0.35,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-0.7837209371518269,0.7908991985093976
Walmart,2020-05-01,Northeast,New York,New York,Men's Apparel,65,618.25,383759.875,122565.625,0.3,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-1.3768551998063734,1.3288596019116166
Walmart,2020-05-02,Northeast,New York,New York,Women's Apparel,70,838.0,441491.0,152344.0,0.25,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-1.9932554808937553,1.5679582113553834
Walmart,2020-05-03,Northeast,New York,New York,Men's Street Footwear,65,838.0,441491.0,152344.0,0.5,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,0.8721452173768379,1.3288596019116166
Walmart,2020-05-04,Northeast,New York,New York,Men's Athletic Footwear,55,838.0,441491.0,152344.0,0.3,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-1.3768551998063734,0.7908991985093976
Walmart,2020-05-05,Northeast,New York,New York,Women's Street Footwear,55,838.0,406831.25,137865.625,0.35,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-0.7837209371518269,0.7908991985093976
Walmart,2020-05-06,Northeast,New York,New York,Women's Athletic Footwear,55,687.5,342687.5,114075.875,0.35,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-0.7837209371518269,0.7908991985093976
Walmart,2020-05-07,Northeast,New York,New York,Men's Apparel,65,618.25,383759.875,122565.625,0.3,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-1.3768551998063734,1.3288596019116166
Walmart,2020-07-18,Northeast,New York,New York,Women's Apparel,70,838.0,441491.0,152344.0,0.25,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-1.9932554808937553,1.5679582113553834
Sports Direct,2020-07-19,Northeast,New York,New York,Men's Street Footwear,25,838.0,225000.0,78750.0,0.35,Outlet,1.2848668457926642,1.7434526876163379,1.2736804541678663,-0.7837209371518269,-1.7212446005400164
Sports Direct,2020-07-20,Northeast,New York,New York,Men's Athletic Footwear,35,838.0,315000.0,110250.0,0.35,Outlet,1.4641529348648912,1.7434526876163379,1.4639303677522304,-0.7837209371518269,-0.6557478587687534
Sports Direct,2020-07-21,Northeast,New York,New York,Women's Street Footwear,35,700.0,245000.0,85750.0,0.35,Outlet,1.3302423666298946,1.6981350509194217,1.3218307661280524,-0.7837209371518269,-0.6557478587687534
Sports Direct,2020-07-22,Northeast,New York,New York,Women's Athletic Footwear,35,687.5,245000.0,110250.0,0.45,Outlet,1.3302423666298946,1.6981350509194217,1.4639303677522304,0.339341902441701,-0.6557478587687534
Sports Direct,2020-07-23,South,Texas,Houston,Men's Apparel,40,550.0,220000.0,66000.0,0.3,Outlet,1.2728924030498752,1.3867593566361038,1.1738133496274115,-1.3768551998063734,-0.2299284184949977
Sports Direct,2020-07-24,South,Texas,Houston,Women's Apparel,35,700.0,245000.0,122500.0,0.5,Outlet,1.3302423666298946,1.6981350509194217,1.523503997890043,0.8721452173768379,-0.6557478587687534
Sports Direct,2020-07-25,South,Texas,Houston,Men's Street Footwear,25,838.0,212500.0,74375.0,0.35,Outlet,1.2544105431259163,1.7434526876163379,1.2413617150364222,-0.7837209371518269,-1.7212446005400164
Sports Direct,2020-07-26,South,Texas,Houston,Men's Athletic Footwear,35,838.0,297500.0,104125.0,0.35,Outlet,1.4336965923969487,1.7434526876163379,1.431611507949858,-0.7837209371518269,-0.6557478587687534
Sports Direct,2020-07-27,South,Texas,Houston,Women's Street Footwear,35,675.0,236250.0,82687.0,0.35,Outlet,1.3108642144772054,1.6511715382843342,1.3012641836347487,-0.7837209371518269,-0.6557478587687534
Sports Direct,2020-07-28,South,Texas,Houston,Women's Athletic Footwear,35,625.0,218750.0,98437.0,0.45,Outlet,1.2698562680926881,1.5517960150210912,1.399848514921063,0.339341902441701,-0.6557478587687534
Sports Direct,2020-07-29,South,Texas,Houston,Men's Apparel,40,500.0,200000.0,60000.0,0.3,Outlet,1.2221073143514791,1.2637357703549128,1.1199228387201567,-1.3768551998063734,-0.2299284184949977
Sports Direct,2020-07-30,South,Texas,Houston,Women's Apparel,35,700.0,245000.0,122500.0,0.5,Outlet,1.3302423666298946,1.6981350509194217,1.523503997890043,0.8721452173768379,-0.6557478587687534
Sports Direct,2020-07-31,South,Texas,Houston,Men's Street Footwear,30,838.0,262500.0,91875.0,0.35,Outlet,1.367004567647769,1.7434526876163379,1.3608410618769422,-0.7837209371518269,-1.1453440731801674
Sports Direct,2020-08-01,South,Texas,Houston,Men's Athletic Footwear,40,838.0,350000.0,122499.0,0.35,Outlet,1.5202933444205244,1.7434526876163379,1.52349938214242,-0.7837209371518269,-0.2299284184949977
Sports Direct,2020-08-02,South,Texas,Houston,Women's Street Footwear,35,700.0,245000.0,85750.0,0.35,Outlet,1.3302423666298946,1.6981350509194217,1.3218307661280524,-0.7837209371518269,-0.6557478587687534
Sports Direct,2020-08-03,South,Texas,Houston,Women's Athletic Footwear,40,600.0,240000.0,108000.0,0.45,Outlet,1.319255575846703,1.4990897387718463,1.4522716823392428,0.339341902441701,-0.2299284184949977
Sports Direct,2020-08-04,South,Texas,Houston,Men's Apparel,45,500.0,225000.0,67500.0,0.3,Outlet,1.2848668457926642,1.2637357703549128,1.186520017408736,-1.3768551998063734,0.14683112786611158
Sports Direct,2020-08-05,South,Texas,Houston,Women's Apparel,40,650.0,260000.0,130000.0,0.5,Outlet,1.36190557531444,1.602438077399099,1.5571035989330175,0.8721452173768379,-0.2299284184949977
Sports Direct,2020-08-06,South,Texas,Houston,Men's Street Footwear,30,838.0,270000.0,94500.0,0.35,Outlet,1.382015156624745,1.7434526876163379,1.3767695890925367,-0.7837209371518269,-1.1453440731801674
Sports Direct,2020-08-07,South,Texas,Houston,Men's Athletic Footwear,40,838.0,360000.0,125999.0,0.35,Outlet,1.5353039474937757,1.7434526876163379,1.5394280803104943,-0.7837209371518269,-0.2299284184949977
Sports Direct,2020-08-08,South,Texas,Houston,Women's Street Footwear,35,725.0,253750.0,88812.0,0.35,Outlet,1.3489404442553539,1.7434526876163379,1.3416690892893761,-0.7837209371518269,-0.6557478587687534
Sports Direct,2020-08-09,South,Texas,Houston,Women's Athletic Footwear,40,625.0,250000.0,112500.0,0.45,Outlet,1.3410071876862255,1.5517960150210912,1.4753535100947757,0.339341902441701,-0.2299284184949977
Walmart,2020-08-10,South,Texas,Houston,Men's Apparel,45,525.0,236250.0,70875.0,0.3,Outlet,1.3108642144772054,1.3267098965840913,1.2141071089476347,-1.3768551998063734,0.14683112786611158
Walmart,2020-08-11,South,Texas,Houston,Women's Apparel,40,800.0,320000.0,152344.0,0.5,Outlet,1.4725443050445528,1.7434526876163379,1.6332850887971198,0.8721452173768379,-0.2299284184949977
Walmart,2020-08-12,South,Texas,Houston,Men's Street Footwear,30,838.0,277500.0,97125.0,0.35,Outlet,1.3966144459103198,1.7434526876163379,1.392261667486425,-0.7837209371518269,-1.1453440731801674
Walmart,2020-08-13,South,Texas,Houston,Men's Athletic Footwear,40,838.0,370000.0,129499.0,0.35,Outlet,1.549903250113666,1.7434526876163379,1.5549203204162332,-0.7837209371518269,-0.2299284184949977
Walmart,2020-08-14,South,Texas,Houston,Women's Street Footwear,35,775.0,271250.0,94937.0,0.35,Outlet,1.3844763189833404,1.7434526876163379,1.3793782806128407,-0.7837209371518269,-0.6557478587687534
Walmart,2020-08-15,South,Texas,Houston,Women's Athletic Footwear,40,687.5,280000.0,114075.875,0.45,Outlet,1.401393318846189,1.6981350509194217,1.5394325678434135,0.339341902441701,-0.2299284184949977
Walmart,2020-08-16,South,Texas,Houston,Men's Apparel,45,600.0,270000.0,81000.0,0.3,Outlet,1.382015156624745,1.4990897387718463,1.2896089528917387,-1.3768551998063734,0.14683112786611158
Walmart,2020-08-17,South,Texas,Houston,Women's Apparel,40,838.0,380000.0,152344.0,0.5,Outlet,1.564113192255167,1.7434526876163379,1.6332850887971198,0.8721452173768379,-0.2299284184949977
Walmart,2020-08-18,South,Texas,Houston,Men's Street Footwear,40,838.0,380000.0,133000.0,0.35,Outlet,1.564113192255167,1.7434526876163379,1.5700036358253824,-0.7837209371518269,-0.2299284184949977
Walmart,2020-08-19,South,Texas,Houston,Men's Athletic Footwear,45,838.0,427500.0,149625.0,0.35,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-0.7837209371518269,0.14683112786611158
Walmart,2020-08-20,South,Texas,Houston,Women's Street Footwear,40,800.0,320000.0,112000.0,0.35,Outlet,1.4725443050445528,1.7434526876163379,1.472834903015257,-0.7837209371518269,-0.2299284184949977
Walmart,2020-08-21,South,Texas,Houston,Women's Athletic Footwear,40,687.5,300000.0,114075.875,0.45,Outlet,1.4381555379878286,1.7434526876163379,1.5784430040164001,0.339341902441701,-0.2299284184949977
Walmart,2020-08-22,South,Texas,Houston,Men's Apparel,45,618.25,292500.0,87750.0,0.3,Outlet,1.4246651750682173,1.602438077399099,1.3348670755197662,-1.3768551998063734,0.14683112786611158
Walmart,2020-08-23,South,Texas,Houston,Women's Apparel,50,838.0,441491.0,152344.0,0.5,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,0.8721452173768379,0.48467654773873725
Walmart,2020-08-24,South,Texas,Houston,Men's Street Footwear,40,838.0,380000.0,133000.0,0.35,Outlet,1.564113192255167,1.7434526876163379,1.5700036358253824,-0.7837209371518269,-0.2299284184949977
Walmart,2020-08-25,South,Texas,Houston,Men's Athletic Footwear,45,838.0,427500.0,149625.0,0.35,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-0.7837209371518269,0.14683112786611158
Walmart,2020-08-26,South,Texas,Houston,Women's Street Footwear,40,838.0,406831.25,137865.625,0.35,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-0.7837209371518269,-0.2299284184949977
Walmart,2020-08-27,South,Texas,Houston,Women's Athletic Footwear,40,687.5,280000.0,114075.875,0.45,Outlet,1.401393318846189,1.6981350509194217,1.5394325678434135,0.339341902441701,-0.2299284184949977
Walmart,2020-08-28,South,Texas,Houston,Men's Apparel,45,618.25,315000.0,94500.0,0.3,Outlet,1.4641529348648912,1.6981350509194217,1.3767695890925367,-1.3768551998063734,0.14683112786611158
Walmart,2020-08-29,South,Texas,Houston,Women's Apparel,50,838.0,441491.0,152344.0,0.5,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,0.8721452173768379,0.48467654773873725
Walmart,2020-08-30,South,Texas,Houston,Men's Street Footwear,40,838.0,370000.0,129499.0,0.35,Outlet,1.549903250113666,1.7434526876163379,1.5549203204162332,-0.7837209371518269,-0.2299284184949977
Walmart,2020-08-31,South,Texas,Houston,Men's Athletic Footwear,45,838.0,416250.0,145687.0,0.35,Outlet,1.5997056498846485,1.7434526876163379,1.6215204867426483,-0.7837209371518269,0.14683112786611158
Walmart,2020-09-01,South,Texas,Houston,Women's Street Footwear,40,838.0,406831.25,137865.625,0.35,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-0.7837209371518269,-0.2299284184949977
Walmart,2020-09-02,South,Texas,Houston,Women's Athletic Footwear,40,650.0,260000.0,114075.875,0.45,Outlet,1.36190557531444,1.602438077399099,1.4975299392074526,0.339341902441701,-0.2299284184949977
Walmart,2020-09-03,South,Texas,Houston,Men's Apparel,45,618.25,292500.0,87750.0,0.3,Outlet,1.4246651750682173,1.602438077399099,1.3348670755197662,-1.3768551998063734,0.14683112786611158
Walmart,2020-09-04,South,Texas,Houston,Women's Apparel,50,838.0,441491.0,152344.0,0.5,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,0.8721452173768379,0.48467654773873725
Walmart,2020-09-05,South,Texas,Houston,Men's Street Footwear,45,838.0,382500.0,133875.0,0.35,Outlet,1.5676072459203234,1.7434526876163379,1.5737113681555042,-0.7837209371518269,0.14683112786611158
Walmart,2020-09-06,South,Texas,Houston,Men's Athletic Footwear,45,838.0,382500.0,133875.0,0.35,Outlet,1.5676072459203234,1.7434526876163379,1.5737113681555042,-0.7837209371518269,0.14683112786611158
Walmart,2020-09-07,South,Texas,Houston,Women's Street Footwear,50,838.0,406831.25,137865.625,0.35,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-0.7837209371518269,0.48467654773873725
Walmart,2020-09-08,South,Texas,Houston,Women's Athletic Footwear,50,625.0,312500.0,114075.875,0.45,Outlet,1.4599071675886444,1.5517960150210912,1.6015248736550551,0.339341902441701,0.48467654773873725
Walmart,2020-09-09,South,Texas,Houston,Men's Apparel,45,618.25,281250.0,84375.0,0.3,Outlet,1.4037667783316485,1.5517960150210912,1.3126907108424044,-1.3768551998063734,0.14683112786611158
Walmart,2020-09-10,South,Texas,Houston,Women's Apparel,55,838.0,441491.0,152344.0,0.5,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,0.8721452173768379,0.7908991985093976
Walmart,2020-09-11,South,Texas,Houston,Men's Street Footwear,45,800.0,360000.0,125999.0,0.35,Outlet,1.5353039474937757,1.7434526876163379,1.5394280803104943,-0.7837209371518269,0.14683112786611158
Walmart,2020-09-12,South,Texas,Houston,Men's Athletic Footwear,45,800.0,360000.0,125999.0,0.35,Outlet,1.5353039474937757,1.7434526876163379,1.5394280803104943,-0.7837209371518269,0.14683112786611158
Walmart,2020-09-13,South,Texas,Houston,Women's Street Footwear,50,750.0,375000.0,131250.0,0.35,Outlet,1.5570555889354678,1.7434526876163379,1.562514425515447,-0.7837209371518269,0.48467654773873725
Walmart,2020-09-14,South,Texas,Houston,Women's Athletic Footwear,50,600.0,300000.0,114075.875,0.45,Outlet,1.4381555379878286,1.4990897387718463,1.5784430040164001,0.339341902441701,0.48467654773873725
Walmart,2020-09-15,South,Texas,Houston,Men's Apparel,45,575.0,258750.0,77625.0,0.3,Outlet,1.3593376637520476,1.444143793376639,1.2655447143836505,-1.3768551998063734,0.14683112786611158
Walmart,2020-09-16,South,Texas,Houston,Women's Apparel,55,750.0,412500.0,152344.0,0.5,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,0.8721452173768379,0.7908991985093976
Walmart,2020-10-20,South,Texas,Houston,Men's Street Footwear,45,838.0,405000.0,141750.0,0.35,Outlet,1.5980636105000856,1.7434526876163379,1.606030294997672,-0.7837209371518269,0.14683112786611158
Walmart,2020-10-21,South,Texas,Houston,Men's Athletic Footwear,45,838.0,405000.0,141750.0,0.35,Outlet,1.5980636105000856,1.7434526876163379,1.606030294997672,-0.7837209371518269,0.14683112786611158
Walmart,2020-10-22,South,Texas,Houston,Women's Street Footwear,50,825.0,406831.25,137865.625,0.35,Outlet,1.5997056498846485,1.7434526876163379,1.6164054014853604,-0.7837209371518269,0.48467654773873725
Walmart,2020-10-23,South,Texas,Houston,Women's Athletic Footwear,50,675.0,337500.0,114075.875,0.45,Outlet,1.5009151681028061,1.6511715382843342,1.6332850887971198,0.339341902441701,0.48467654773873725
